ID;Coletado em;Tipo;Objetivo;Munícipio;Bairro;Endereço;Latitude;Longitude;Renda IBGE;Dormitórios;Banheiros;Vagas de Gagarem;Área total;Valor unitário;Valor total;Contato;Telefone do contato;Descrição do imóvel
1;05/03/2025;Apartamento;Venda;São Luís;Turu;Rua General Artur Carvalho, Nº 23;-2.517418;-44.225548;R$ 846.15;2;1;0;40;750;30000;Pedro Henrique Reis Gomes;(98) 98488-9969! ;Apartamento para Repasse de chave 🔑 no Condomínio Village das Árvores II 📍localizado na área do TuruEmpreendimento em planta, previsão de entrega para Dezembro de 2025✅ Térreo ✅ 2 Quartos✅ 1 banheiro social✅ Gás encanado🚗 1 Vaga de Garagem🏊‍♂️ Área de Lazer com Piscina🍖 Churrasqueira🏋🏻 Academia🛝 Playgrond💰 Valor da chave 🔑 R$ 30.000,00⚠️ 48X R$1.029,00 Com a construtora4x Semestrais: R$1.249,00Parcela caixa R$570,00Saldo devedor Caixa R$112.262,91WHATS 98.9.8.1.4.6.4.7.1.2 CRECI 7792
2;05/03/2025;Apartamento;Venda;São Luís;Cruzeiro de Santa Barbara;Rua São Jerônimo;-2.599763;-44.207762;R$ 0.00;2;1;1;40;825;33000;Meu Imóvel;(98) 98888-9999! ;Entre em contato abaixo:Vanessa Arcoverde | Creci 7057(98)9.8.2.6.2.4.2.6.3CHAT NÃO FUNCIONA,CHAMA NESSE CONTATO ACIMA 👆🏼Passo Chave de Apto no Condomínio Alvorada IIBLOCO 21AP 304O imóvel possui: 2 quartosCozinha Sala de estar/jantarWc social1 vaga de garagemChave = 33 milPrestação Caixa = 450,00Saldo devedor Caixa = 84 milEncargo de obra = 398,00Pré chave - 15x 976,00Pós chave - 40x 759,002 intermediárias - 1.950Entrega: Dez 2025
3;05/03/2025;Apartamento;Venda;São Luís;Maiobinha;Rua Santa Maria, Nº 111;-2.559219;-44.204786;R$ 0.00;2;1;1;64;546;35000;Eurico Vaz de Moraes Filho;(98) 98550-0617! ;"DESCRIÇÃO: Chave de apartamento a venda no Condomínio Clube Bela Cintra Life, no TÉRREO GARDEM (Giardino), 64m2 de área privativa real, 2 quartos, banheiro social, sala de estar/jantar, cozinha americana, área de serviço e uma vaga de garagem. Área de lazer com 11 itens: academia completa, mobiliada e decorada. guarita de segurança, cerca elétrica e sistema de CFTV (câmeras de segurança). Piscina adulto com deck molhado; piscina infantil; quadra poliesportiva; salão de festas com churrasqueira; academia; salão de jogos; brinquedoteca; playground; quiosques e solarium. São 16 Blocos, que somam 496 unidades habitacionais. Ônibus passa na porta do condomínio. LOCALIZAÇÃO: Rua Santa Maria, Bairro Maiobinha. REFERÊNCIA: Estrada de Ribamar - MA 201 e Transágua. FINANCEIRO: Valor da Chave R$ 35 mil. Aceita proposta. Débito Construtora Negociável (Entrada mínima: R$ 20 Mil e mais 45 parcelas de R$ 886,00). Condomínio aprox. R$ 200. Prestação CEF aprox. R$ 652,00. CON"
4;05/03/2025;Apartamento;Venda;São Luís;Turu;Rua General Artur Carvalho, Nº 1;-2.515266;-44.220912;R$ 846.15;2;1;1;50;700;35000;Meu Imóvel;(98) 98888-9999! ;O imóvel está localizado no bairro Turu com 50 metros quadrados com 2 quartos e 1 banheiro✨Repasse de chave Be Life Resort 3*Apresentamos um lindo apartamento no Condomínio Be Life Resort, ideal para você que busca conforto e qualidade de vida! Em construção  *Localização:* Avenida General Arthur Carvalho -Turu☑️⁠Térreo Giardino ☑️⁠ Nascente☑️⁠*Quartos:* 2☑️⁠*Banheiro:* 1 (Semi suíte)💰 *Condições de RepasseChave:* R$35.000,00 Parcela CAIXA:* R$1.300,00Tem saldo construtoraPARA ATENDIMENTO MAIS RAPIDO CHAME DIRETO NO WHASTSPPINFO 📲Joyce Pereira (9.8)9.7.0.2.6.3.9.7.4CRECI 6454
5;05/03/2025;Apartamento;Venda;São Luís;Turu;;0;0;R$ 0.00;2;1;1;58;603;35000;Pedro Henrique Reis Gomes;(98) 98488-9969! ;CAR ✨ **Oportunidade Imperdível!** ✨Apresentamos um lindo apartamento no Condomínio Be Life Resort, ideal para você que busca conforto e qualidade de vida! 🏡 **Detalhes do Imóvel:**- **Localização:** Térreo Giardino Nascente- **Quartos:** 2- **Banheiro:** 1 (Semi suíte)💰 **Condições de Pagamento:**- **57 parcelas:** R$766,00- **2 anuais:** R$2.000,00 (setembro 2025 e setembro 2026)- **Parcela CAIXA:** R$1.300,00- **Chave:** R$35.000,00Não perca essa chance de garantir seu novo lar em um dos melhores condomínios da região! Entre em contato para mais informações. 🏖️🌿
6;05/03/2025;Apartamento;Venda;São Luís;Turu;Rua General Artur Carvalho, Nº 1A;-2.515266;-44.220912;R$ 846.15;2;1;1;41;902;37000;Francinaldo G. Santos;(98) 98851-5946! ;*PASSO VILLAGE DO PORTO II**CHAVE R$ 37.000,00*ENTREGA DEZEMBRO DE 20251 Andar, nascente.*Prestação caixa: R$ 777,00**Taxa de obra: R$ 473,00**Parcelas da construtora:* *21X R$ 880,00.**36X R$ 616,51 (COM CORRECAO DO INCC)**Saldo devedor caixa R$ 101.653,48*
7;05/03/2025;Apartamento;Venda;São Luís;Cidade Operaria;Avenida Arterial Norte Externa, Nº 3;-2.596097;-44.197332;R$ 571.71;2;1;1;45;888;40000;Meu Imóvel;(98) 98888-9999! ;Vende-se Chave Apartamento Jardim Evora!!!Oportunidade Repasse de chave Jardim de Evora - 2º andar 📍Localizado na Região da Cidade Operaria ✔️Sala de estar/jantar✔️ Cozinha com área de serviço✔️ 02 Quartos✔️ Banheiro SocialDados da negociação:💰 *R$ 40.000,00 - Valor da chave*💰 *R$ 814,65 - Prestação caixa*💰 *R$ 156.211,77 - Saldo devedor caixa*🏗️ *Saldo com a construtora:*✔️ ⁠*Parcelas Mensais 33 x R$ 765,21*✔️ *Parcela intermediaria: R$ 2.131,30*
8;05/03/2025;Apartamento;Venda;São Luís;Sitio Leal;Rua Salvador de Oliveira;-2.556262;-44.263193;R$ 0.00;2;1;1;44;909;40000;Meu Imóvel;(98) 98888-9999! ;Oportunidade Repasse de chave Jardim de Evora - 2º andar 📍Localizado na Região da Cidade Operaria ✔️Sala de estar/jantar✔️ Cozinha com área de serviço✔️ 02 Quartos✔️ Banheiro SocialDados da negociação:💰 *R$ 40.000,00 - Valor da chave*💰 *R$ 814,65 - Prestação caixa*💰 *R$ 156.211,77 - Saldo devedor caixa*🏗️ *Saldo com a construtora:*✔️ ⁠*Parcelas Mensais 33 x R$ 765,21*✔️ *Parcela intermediaria: R$ 2.131,30**Rogério Motivado CRECI/MA 6658*
9;05/03/2025;Apartamento;Venda;São Luís;Cidade Operaria;Avenida Arterial Norte Externa;-2.596097;-44.197332;R$ 571.71;2;1;1;42;952;40000;Meu Imóvel;(98) 98888-9999! ;Oportunidade Repasse de chave Jardim de Evora - 2º andar 📍Localizado na Região da Cidade Operaria ✔️Sala de estar/jantar✔️ Cozinha com área de serviço✔️ 02 Quartos✔️ Banheiro SocialDados da negociação:💰 *R$ 40.000,00 - Valor da chave*💰 *R$ 814,65 - Prestação caixa*💰 *R$ 156.211,77 - Saldo devedor caixa*🏗️ *Saldo com a construtora:*✔️ ⁠*Parcelas Mensais 33 x R$ 765,21*✔️ *Parcela intermediaria: R$ 2.131,30**Rogério Motivado CRECI/MA 6658*
10;05/03/2025;Apartamento;Venda;São Luís;Cidade Operaria;Avenida Arterial Norte Externa, Nº 2;-2.596097;-44.197332;R$ 571.71;2;1;1;40;1000;40000;Meu Imóvel;(98) 98888-9999! ;O imóvel está localizado na Cidade Operaria tem 45 metros quadrados com 2 quartos e 1 banheiroOportunidade Repasse de chave Jardim de Evora - 2º andar 📍Localizado na Região da Cidade Operaria ✔️Sala de estar/jantar✔️ Cozinha com área de serviço✔️ 02 Quartos✔️ Banheiro SocialDados da negociação:💰 *R$ 40.000,00 - Valor da chave*💰 *R$ 814,65 - Prestação caixa*💰 *R$ 156.211,77 - Saldo devedor caixa*🏗️ *Saldo com a construtora:*✔️ ⁠*Parcelas Mensais 33 x R$ 765,21*✔️ *Parcela intermediaria: R$ 2.131,30*
